ForeignLanguage,NativeLanguage,Grammar,Answer,LastSeen,CountSeen,CountIncorrect
"das buch","the book","Noun neuter singular","the book  noun neuter singular","2021-10-31 11:38:51.806","1","0"
"das Deutsch","German","Noun neuter singular","German  noun neuter singular","2021-10-31 11:39:38.483","1","1"
"das Ei","the egg","Noun neuter singular","the egg  noun neuter singular","2021-10-31 11:38:59.186","1","0"
"Das Englisch","English","Noun neuter singular","English  noun neuter singular","2021-10-31 11:39:21.63","1","0"
"das Fleisch","the meat","Noun neuter singular","the meat  noun neuter singular","2021-10-31 11:38:47.115","1","0"
"das Gemüse","the vegetables","Noun neuter singular","the vegetables  noun neuter singular","2021-10-31 11:39:26.614","1","0"
"das Haustier","the pet","Noun neuter singular","the pet  noun neuter singular","2021-10-31 11:39:43.797","1","0"
"das Insekt","the insect","Noun neuter singular","the insect  noun neuter singular","2021-10-31 11:39:10.293","1","1"
"das Mädchen","the girl","Noun neuter singular","the girl  noun neuter singular","2021-10-31 11:39:32.228","1","0"
"das Pferd","the horse","Noun neuter singular","the horse  noun neuter singular","2021-10-31 11:38:30.622","1","1"
"das Reis","the rice","Noun neuter singular","the rice  noun neuter singular","0001-01-01 00:00:00.0","0","0"
"das Salz","the salt","Noun neuter singular","the salt  noun neuter singular","0001-01-01 00:00:00.0","0","0"
"das Schwein","the pig","Noun neuter singular","the pig  noun neuter singular","0001-01-01 00:00:00.0","0","0"
"das Tier","the animal","Noun neuter singular","the animal  noun neuter singular","0001-01-01 00:00:00.0","0","0"
"den/die/das","the","Determiner (accusative) masc/fem/neu","the  determiner (accusative) masc/fem/neu","0001-01-01 00:00:00.0","0","0"
"denke","I think","Verb 1st person singular","I think  verb 1st person singular","0001-01-01 00:00:00.0","0","0"
"denken","we/they think","Verb 1st person plural 3rd person plural","we/they think  verb 1st person plural 3rd person plural","0001-01-01 00:00:00.0","0","0"
"der Apfel","the apple","Noun masculine singular","the apple  noun masculine singular","0001-01-01 00:00:00.0","0","0"
"der Apfelsaft","the apple juice","Noun masculine singular","the apple juice  noun masculine singular","0001-01-01 00:00:00.0","0","0"
"der Durst","thirst","Noun masculine singular","thirst  noun masculine singular","0001-01-01 00:00:00.0","0","0"
"der Fisch","the fish","Noun masculine singular","the fish  noun masculine singular","0001-01-01 00:00:00.0","0","0"
"der Hund","the dog","Noun masculine singular","the dog  noun masculine singular","0001-01-01 00:00:00.0","0","0"
"der Käse","the cheese","Noun masculine singular","the cheese  noun masculine singular","0001-01-01 00:00:00.0","0","0"
"der Orangensaft","the orange juice","Noun masculine singular","the orange juice  noun masculine singular","0001-01-01 00:00:00.0","0","0"
"der Ring","the ring","Noun masculine singular","the ring  noun masculine singular","0001-01-01 00:00:00.0","0","0"
"der Saft","the juice","Noun masculine singular","the juice  noun masculine singular","0001-01-01 00:00:00.0","0","0"
"der Vogel","the bird","Noun masculine singular","the bird  noun masculine singular","0001-01-01 00:00:00.0","0","0"
"der Wein","the wine","Noun masculine singular","the wine  noun masculine singular","0001-01-01 00:00:00.0","0","0"
"der/die/das","the","Determiner (nominative) masc/fem/neu","the  determiner (nominative) masc/fem/neu","0001-01-01 00:00:00.0","0","0"
